Run_name	WM_retained	CSF_retained
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-014/func/sub-014_task-regularity_run-4_desc-confounds_timeseries.json	17	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-localizer_desc-confounds_timeseries.json	1	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-1_desc-confounds_timeseries.json	1	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-2_desc-confounds_timeseries.json	1	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-3_desc-confounds_timeseries.json	1	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-015/func/sub-015_task-regularity_run-4_desc-confounds_timeseries.json	3	31
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-localizer_desc-confounds_timeseries.json	9	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-regularity_run-1_desc-confounds_timeseries.json	7	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-regularity_run-2_desc-confounds_timeseries.json	5	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-regularity_run-3_desc-confounds_timeseries.json	5	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-016/func/sub-016_task-regularity_run-4_desc-confounds_timeseries.json	3	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-017/func/sub-017_task-localizer_desc-confounds_timeseries.json	3	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-017/func/sub-017_task-regularity_run-1_desc-confounds_timeseries.json	4	22
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-017/func/sub-017_task-regularity_run-2_desc-confounds_timeseries.json	7	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-017/func/sub-017_task-regularity_run-3_desc-confounds_timeseries.json	8	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-017/func/sub-017_task-regularity_run-4_desc-confounds_timeseries.json	10	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-018/func/sub-018_task-localizer_desc-confounds_timeseries.json	3	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-018/func/sub-018_task-regularity_run-1_desc-confounds_timeseries.json	9	28
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-018/func/sub-018_task-regularity_run-2_desc-confounds_timeseries.json	17	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-018/func/sub-018_task-regularity_run-3_desc-confounds_timeseries.json	21	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-018/func/sub-018_task-regularity_run-4_desc-confounds_timeseries.json	25	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-020/func/sub-020_task-localizer_desc-confounds_timeseries.json	11	22
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-020/func/sub-020_task-regularity_run-1_desc-confounds_timeseries.json	15	30
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-020/func/sub-020_task-regularity_run-2_desc-confounds_timeseries.json	13	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-020/func/sub-020_task-regularity_run-3_desc-confounds_timeseries.json	17	33
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-020/func/sub-020_task-regularity_run-4_desc-confounds_timeseries.json	17	33
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-021/func/sub-021_task-localizer_desc-confounds_timeseries.json	4	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-021/func/sub-021_task-regularity_run-1_desc-confounds_timeseries.json	10	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-021/func/sub-021_task-regularity_run-2_desc-confounds_timeseries.json	9	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-021/func/sub-021_task-regularity_run-3_desc-confounds_timeseries.json	8	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-021/func/sub-021_task-regularity_run-4_desc-confounds_timeseries.json	9	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-022/func/sub-022_task-localizer_desc-confounds_timeseries.json	9	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-022/func/sub-022_task-regularity_run-1_desc-confounds_timeseries.json	13	34
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-022/func/sub-022_task-regularity_run-2_desc-confounds_timeseries.json	16	36
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-022/func/sub-022_task-regularity_run-3_desc-confounds_timeseries.json	16	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-022/func/sub-022_task-regularity_run-4_desc-confounds_timeseries.json	15	22
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-023/func/sub-023_task-localizer_desc-confounds_timeseries.json	16	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-023/func/sub-023_task-regularity_run-1_desc-confounds_timeseries.json	25	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-023/func/sub-023_task-regularity_run-2_desc-confounds_timeseries.json	16	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-023/func/sub-023_task-regularity_run-3_desc-confounds_timeseries.json	21	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-023/func/sub-023_task-regularity_run-4_desc-confounds_timeseries.json	19	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-024/func/sub-024_task-localizer_desc-confounds_timeseries.json	3	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-024/func/sub-024_task-regularity_run-1_desc-confounds_timeseries.json	15	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-024/func/sub-024_task-regularity_run-2_desc-confounds_timeseries.json	12	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-025/func/sub-025_task-localizer_desc-confounds_timeseries.json	1	14
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-025/func/sub-025_task-regularity_run-1_desc-confounds_timeseries.json	4	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-025/func/sub-025_task-regularity_run-2_desc-confounds_timeseries.json	3	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-025/func/sub-025_task-regularity_run-3_desc-confounds_timeseries.json	3	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-025/func/sub-025_task-regularity_run-4_desc-confounds_timeseries.json	8	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-031/func/sub-031_task-localizer_desc-confounds_timeseries.json	2	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-031/func/sub-031_task-regularity_run-1_desc-confounds_timeseries.json	3	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-031/func/sub-031_task-regularity_run-2_desc-confounds_timeseries.json	5	23
